,Text,Class
0,japanese workers have seen their pay go up at a record rate after government called on companies to help employees facing rising prices official figures show that compared to a year earlier wages rose by in may fastest pace in years despite hike when inflation taken into account peoples buying power continued to fall in real terms inflation in japan which worlds third largest economy has been rising for more than a year in recent months prices have gone up around world as pandemic restrictions were eased war in ukraine pushed up cost of key goods such as oil wheat in japan costs of everyday items were also pushed higher by its weakening currency most recent official reading of japans inflation rate showed that core consumer prices rose by in may from a year earlier for decades salaries of many people in japan barely moved as inflation had been almost nonexistent in march as cost of living continued to jump countrys prime minister fumio kishida urged employers to take action,Business
1,tech billionaires mark zuckerberg elon musk have been joking about setting up a cage match in business world fight has already begun less than a day after mr zuckerberg launched his alternative to twitter threads it had already claimed some some million signups lending it credibility as a serious contender in world of social media thats still a small fraction of hundreds of millions of twitter users but analysts think its a sign that mr zuckerbergs meta has a good shot at wooing some of its gigantic billionplus users on facebook instagram whatsapp to new offering bringing advertisers with them after all mr zuckerberg whose meta made more than bn in sales last year has a monster track record when it comes to selling adverts none of apparent qualms of mr musk who has disdained advertising at his electric car company tesla been looking for alternative ways to fund twitter mr zuckerberg said there would be no ads on threads initially giving company time to finetune app which allows users to scroll endlessly through textbased posts our approach will be same as all our other products make product work well first then see if we can get it on a clear path to billion people only then think about monetization at that point he wrote but eventually threads adverts could add to to metas overall revenue generating more than bn in most optimistic scenario justin patterson equity research analyst at keybanc capital markets wrote in a note thats not huge but its also not nothing especially as company continues to look for ways to combat hit to ad sales sparked by stricter privacy rules from apple it well within striking distance of twitter which generated bn in ad revenue in before mr musks takeover sparked upheaval,Business
2,sales of smart speakers have fallen off a cliff as customers cut back trade down on electrical items boss of currys has said sales overall fell in year to april as people bought cheaper goods due to rising cost of living shoppers also bought more products on credit to spread their costs people arent as interested in amazon alexa as they used to be managing director alex baldock told bbcs today programme this surprising as many industry analysts have predicted a boom in smart speakers however firm said that after a surge in sales during first stages of covid pandemic people were not upgrading mr baldock said that shoppers were being careful with their money he said some shoppers were also trading down to buy lower value items these included tvs smaller kitchen appliances like kettles where an entry level product still boils water for you firm said it said it was wary of optimism about consumer spending power in coming year,Business
3,chinas largest car manufacturer saic motor says it will build its first factory in europe after sales of its vehicles on continent jumped statecontrolled company which owns iconic mg brand says new plant will produce electric vehicles however a spokesperson told bbc that saic has not yet decided whether mg models would be made at site mg which has roots dating back over a century was made in uk until production was moved to china in on thursday an saic spokesperson told bbc that firm was still in process of securing a site in europe finalising other details about project,Business
4,food prices not rising as fast as they were helping to boost amount customers buying boss of sainsburys has said sainsburys saw an increase of nearly in value of goods it sold in april may june that was partly down to good weather impact of easter coronation bank holidays chief executive simon roberts said sainsburys was fully committed to passing on savings to customers food prices have risen sharply over last year but some wholesale prices have fallen in recent months supermarkets have been accused of keeping prices higher than they need to be hitting pockets of customers sainsburys has defended its record saying it has kept prices as low as possible including cutting prices on staples such as bread butter milk toilet roll prices for one hundred most popular grocery items were now lower than they were in march mr roberts said despite food prices rising more generally we putting all of our energy focus into battling inflation mr roberts said he added that food inflation was starting to fall falling food inflation means prices still rising but at a slower pace than they were,Business
5,a us court has ordered two precious metals companies to pay almost m �m after more than american silver eagle coins went missing firms their owner robert higgins have been accused of running a fraudulent deceptive scheme they had allegedly promised to store coins for customers however when investigators entered vaults that were meant to hold coins they were nowhere to be found under court settlement precious metals dealer argent asset group first state depository company which were both owned by mr higgins were ordered to make restitutions of m pay a penalty of m us financial watchdog commodity futures trading commission cftc said mr higgins companies ran fraudulent silver leasing programmes from to these were known as maximus program silver lease program through schemes companies solicited misappropriated at least million in funds silver from at least customers regulator said firms also made false misleading excuses for why assets could not be withdrawn according to cftc regulator said that over american silver eagle coins more than gold coins were missing from customers accounts in their place investigators said that they found iou slips in empty boxes marked to indicate a customers account yet containing no assets this kind of egregious behaviour merits full weight of commissions enforcement authority cftc added mr higgins did not immediately respond to a request from bbc for comment weight purity of american silver eagle coins guaranteed by us government each coin contains at least one troy ounce g of pure silver according to united states mint,Business
6,some manufacturers refusing to hire young people because they worried about their reliability a study has revealed shropshire chamber of commerce said its quarterly survey showed some businesses were having trouble with younger people failing to turn up as a result they were no longer seeking unders ruth ross chambers chief executive said getting right staff still proving difficult she said interview noshows younger recruits not even completing their first week hampering manufacturing industries chamber said hundreds of businesses responded to its survey which carried out anonymously it said recruitment has been one of biggest concerns noted in survey for past months but this first time any of respondents have commented about specific problems they having with younger recruits chambers previous chief executive richard sheehan said he believed more could be done to prepare young people for world of work but he also said it should be recognised that there some fantastic young people working in our businesses across shropshire doing amazing incredible things each coin contains at least one troy ounce g of pure silver according to united states mint,Business
7,a review into whether banks closing accounts of people who politically exposed should be prioritised a treasury minister has said in a letter to financial conduct authority andrew griffith said it was vital elected officials could access banking services it comes after nigel farage said his accounts were being shut for political reasons something people familiar with decision dispute fca has been contacted for comment mr farage tweeted he was delighted government was putting pressure on watchdog to act someone classed as a politically exposed person pep generally presents a higher risk for financial institutions as they deemed to be more exposed to potential involvement in bribery corruption by virtue of their position influence they may hold as a result banks required to do extra due diligence on them mr griffith who economic secretary to treasury said in his letter to financial watchdog that while he recognised importance of measures to prevent money laundering it crucial that an appropriate balance struck so that elected officials their families can access banking services he added that it had been made clear that some financial institutions may be failing to strike right balance of taking a proportionate approach based on a careful evaluation of actual risk,Business
8,a policy of refusing to employ younger staff was unfair a teenage apprentice said shropshire chamber of commerce said some manufacturers would not hire unders because they were unreliable allison roberts works at autocraft a car repair shop in telford called on businesses to reconsider her manager tina williams agreed said firms should invest in apprentices we�ve all got to take that chance because recruiting staff getting harder harder so apprentices future of our business really she said chamber carried out an anonymous survey said hundreds of businesses responded it noticed a growing trend of businesses having trouble with younger people failing to turn up for interviews dropping out soon after starting ms williams said her company had faced similar problems in past recruitment really difficult at moment she said we�re just in a fortunate position at this time where we�ve currently got nine trainees in our business which a fantastic success,Business
9,energy suppliers have been warned they should retain profits rather than pay out returns to shareholders to ensure firms can weather future price shocks regulator ofgem said firms must learn lessons of energy crisis adding a return to practices we saw before isnt on table some suppliers have gone bust since energy prices started to rise in higher wholesale gas prices driven by russias invasion of ukraine made price deals to customers undeliverable biggest supplier to go bust was bulb which had million customers it was bailed out by taxpayers to tune of about �bn has since been taken over by octopus energy households have seen their gas electricity bills soar but prices starting to fall with bills for using a typical amount of energy to be � a year on average however despite a drop of � per year bills much higher than before covid pandemic reduction in wholesale gas prices means domestic suppliers expected to return to profit after five years of losses while companies such as shell bp have made record profits in recent years from oil gas extraction two firms along with other smaller domestic energy suppliers have been making much less often inducing losses for selling that energy to households,Business
